Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"ES Mills","Sales Anticipations and Inventory Behavior.",1971,"","JSTOR","","https://scholar.google.com/scholar?cites=2843243247790402083&as_sdt=2005&sciodt=2007&hl=en",74,"2022-02-09 13:55:36","CITATION","","","",,,,,2,0.04,2,1,51,"","","https://scholar.google.com/scholar?q=related:IyqTcqs6dScJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
186,"BC French, JL Matthews","A supply response model for perennial crops",1971,"American Journal of Agricultural …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.2307/1238225","https://scholar.google.com/scholar?cites=15860916663120636692&as_sdt=2005&sciodt=2007&hl=en",76,"2022-02-09 13:55:36","","10.2307/1238225","","",,,,,186,3.65,93,2,51,"… The behavioral process thus appears similar to the type which Muth [19] refers to as ""rational expectations."" Our first task is to define and measure 1t""t*. Actual … MUTH, JOHN F., ""Rational Expectations and the Theory of Price Movements,"" Econometrica 29:315335,1961. …","https://scholar.google.com/scholar?output=instlink&q=info:FCthnatLHdwJ:scholar.google.com/&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971&scillfp=9550602017597584186&oi=lle","https://scholar.google.com/scholar?q=related:FCthnatLHdwJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
5,"LW Gregg, HA Simon","Process models and stochastic theories of simple concept formation",1971,"Computer Simulation of Human Behavior","stacks.stanford.edu","https://stacks.stanford.edu/file/druid:cp115dm2699/cp115dm2699.pdf","https://scholar.google.com/scholar?cites=2731175600114551809&as_sdt=2005&sciodt=2007&hl=en",85,"2022-02-09 13:55:36","PDF","","","",,,,,5,0.10,3,2,51,"1. On each trial the subject is in one of two states, A'or R. If he is in state R (he"" knows"" the correct concept), he will always make the correct response. If he is in stateR (he"" does not know"" the correct concept), he will make an incorrectresponse with probability p. LW Gregg and …","https://stacks.stanford.edu/file/druid:cp115dm2699/cp115dm2699.pdf","https://scholar.google.com/scholar?q=related:AcwK6LwV5yUJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
1,"JA Naylor","The Relative Impact of Expectations and Investor Preferences on the Structure of Government Yields",1971,"Southern Economic Journal","JSTOR","https://www.jstor.org/stable/1056208","https://scholar.google.com/scholar?cites=12699377949317638213&as_sdt=2005&sciodt=2007&hl=en",90,"2022-02-09 13:55:36","","","","",,,,,1,0.02,1,1,51,"… It should also be noted that according to Muth's work [23; 24] the Meiselman model fulfills the requirements of a ""rational expectations"" model under only special conditions. Furthermore, Buse [2] has argued that the technique by which the yield data, used in this model, are …","","https://scholar.google.com/scholar?q=related:RaiB8fVAPbAJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
1,"DK Foley","Unemployment and price dynamics in a monetary-fiscal policy model",1971,"","dspace.mit.edu","https://dspace.mit.edu/bitstream/handle/1721.1/64388/unemploymentpric00fole.pdf?sequence=1","https://scholar.google.com/scholar?cites=1530614959588642909&as_sdt=2005&sciodt=2007&hl=en",104,"2022-02-09 13:55:36","PDF","","","",,,,,1,0.02,1,1,51,"In a recent paper [1] and book [2] Miguel Sidrauski and I developed a full employment continuous-time model of an economy controlled indirectly by monetary and fiscal policy. The close relation of this model to the General Theory of Keynes [4] and to some traditional versions …","https://dspace.mit.edu/bitstream/handle/1721.1/64388/unemploymentpric00fole.pdf?sequence=1","https://scholar.google.com/scholar?q=related:XRAuOjLWPRUJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
16,"RD Auster","The invariably stable cobweb model",1971,"The Review of Economic Studies","JSTOR","https://www.jstor.org/stable/2296630","https://scholar.google.com/scholar?cites=15430293324861788656&as_sdt=2005&sciodt=2007&hl=en",105,"2022-02-09 13:55:36","","","","",,,,,16,0.31,16,1,51,"Consider a perfectly competitive firm producing a perishable commodity with a one period production-sale lag, ie, a"" cobweb model"". Suppose, further, that the industry demand curve is subject to serially uncorrelated random disturbances about a stable mean. In these …","","https://scholar.google.com/scholar?q=related:8NF3mAZqI9YJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
1457,"RE Lucas Jr, EC Prescott","Investment under uncertainty",1971,"Econometrica: Journal of the Econometric Society","JSTOR","https://www.jstor.org/stable/1909571","https://scholar.google.com/scholar?cites=18073612580412695378&as_sdt=2005&sciodt=2007&hl=en",109,"2022-02-09 13:55:36","","","","",,,,,1457,28.57,729,2,51,"This paper determines the time series behavior of investment, output, and prices in a competitive industry with a stochastic demand. It is shown, first, that the equilibrium development for the industry solves a particular dynamic programming problem (maximization of ""consumer …","http://pages.stern.nyu.edu/~dbackus/GE_asset_pricing/adjustment%20costs/LucasPrescott%20Econometrica%2071.pdf","https://scholar.google.com/scholar?q=related:UqOHP-Je0voJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
0,"CH Grattan","The Death of the Past",1971,"","JSTOR","https://www.jstor.org/stable/2504178","",135,"2022-02-09 13:55:36","","","","",,,,,0,0.00,0,1,51,"… is, aside from any historiographical katzenjammers that afflict the professionals, a problem of teaching, for there can be small doubt that man requires a consciousness of the past to be fully seized of his predicament in the present - and on which to found his rational expectations …","https://scholar.google.com/scholar?output=instlink&q=info:6LAIfzoRBqUJ:scholar.google.com/&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971&scillfp=11736505224159933556&oi=lle",""
5,"JA Farquhar","Accountability, Program Budgeting, and the California Educational Information System: A Discussion and a Proposal.",1971,"","ERIC","https://eric.ed.gov/?id=ED050498","https://scholar.google.com/scholar?cites=15416244001990131776&as_sdt=2005&sciodt=2007&hl=en",149,"2022-02-09 13:55:36","","","","",,,,,5,0.10,5,1,51,"It has been argued that the answer to public and political demands for a more responsive educational system lies in the practice of accountability. The future implementation of program budgeting may offer an attractive vehicle for accountability. Currently, many California school …","https://files.eric.ed.gov/fulltext/ED050498.pdf","https://scholar.google.com/scholar?q=related:QEBetT2A8dUJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
0,"奥野信宏","価格予想と市場均衡の安定性",1971,"季刊 理論経済学","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/economics1950/21/3/21_3_65/_article/-char/ja/","",153,"2022-02-09 13:55:36","","","","",,,,,0,0.00,0,1,51,"価格予想 と市場均衡の安定 性 と の 関 係 は, Ezekiel1) 以 来独立市場 と多数財市場 につ い て 多 くの関心を集めて きた. 自 己回帰型の予想形式を仮定 した場合については, い くつかの興味ある 結果がえられているが, 2) こ の予 想形式 自体が以下に述べ るよ うな批判を受けてきた. 本稿は, こ …","https://www.jstage.jst.go.jp/article/economics1950/21/3/21_3_65/_pdf","https://scholar.google.com/scholar?q=related:PPrB1gsVDGQJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
13,"W Fellner","Phillips-Type Approach or Acceleration?",1971,"Brookings Papers on Economic Activity","JSTOR","https://www.jstor.org/stable/2534233","https://scholar.google.com/scholar?cites=14940910739659340236&as_sdt=2005&sciodt=2007&hl=en",155,"2022-02-09 13:55:36","","","","",,,,,13,0.25,13,1,51,"… Thus, it is reasonable to say that, in the first part of the regression period, rational expectations ""should"" have borne a relation to preceding price developments different from that in the second part. A ""recent"" Aw/w of 0.045 should give rise to very different expectations …","https://www.brookings.edu/wp-content/uploads/1971/06/1971b_bpea_fellner.pdf","https://scholar.google.com/scholar?q=related:zLk2SijHWM8J:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
33,"TJ Sargent, N Wallace","Market transaction costs, asset demand functions, and the relative potency of monetary and fiscal policy",1971,"Journal of Money, Credit and Banking","JSTOR","https://www.jstor.org/stable/1991161","https://scholar.google.com/scholar?cites=16210672068299180015&as_sdt=2005&sciodt=2007&hl=en",164,"2022-02-09 13:55:36","","","","",,,,,33,0.65,17,2,51,"THERE HAS BEEN CONTROVERSY about the relative potency and efficacy of monetary and fiscal policy slnce the Great Depression. At the risk of some over-simplification, it is probably correct to say that the controversy has largely centered on empirical estimation of the …","","https://scholar.google.com/scholar?q=related:78dRuVvg9-AJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
4,"LS Shapley, M Shubik","Competitive equilibrium and game theory solutions: Part I. The core and value",1971,"","elischolar.library.yale.edu","https://elischolar.library.yale.edu/cgi/viewcontent.cgi?article=1548&context=cowles-discussion-paper-series","https://scholar.google.com/scholar?cites=14951772624968568715&as_sdt=2005&sciodt=2007&hl=en",170,"2022-02-09 13:55:36","PDF","","","",,,,,4,0.08,2,2,51,"… Harsanyi (1959) has approached the value by attempting to define ""the rational expectations"" of the individuais in a bargain. Others have suggested various axiom systems, all of which make use of axioms concerning symmetry or equal treatment for equal individuals, The …","https://elischolar.library.yale.edu/cgi/viewcontent.cgi?article=1548&context=cowles-discussion-paper-series","https://scholar.google.com/scholar?q=related:i0-pCfxdf88J:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
0,"ION GENERAL","Lloyd S., Shapley and Martin Shubik",1971,"","researchgate.net","https://www.researchgate.net/profile/Martin-Shubik/publication/4743354_Competitive_Equilibrium_and_Game_Theory_Solutions_Part_I_The_Core_and_Value/links/54b96d840cf24e50e93dabd0/Competitive-Equilibrium-and-Game-Theory-Solutions-Part-I-The-Core-and-Value.pdf","",171,"2022-02-09 13:55:36","PDF","","","",,,,,0,0.00,0,1,51,"… Harsanyi (1959) has approached the value by attempting to define ""the rational expectations"" of the individuais in a bargain. Others have suggested various axiom systems, all of which make use of axioms concerning symmetry or equal treatment for equal individuals, The …","https://www.researchgate.net/profile/Martin-Shubik/publication/4743354_Competitive_Equilibrium_and_Game_Theory_Solutions_Part_I_The_Core_and_Value/links/54b96d840cf24e50e93dabd0/Competitive-Equilibrium-and-Game-Theory-Solutions-Part-I-The-Core-and-Value.pdf","https://scholar.google.com/scholar?q=related:fQJHIExajuEJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
0,"JB Spector","A reformulation of Harrod growth theory",1971,"","search.proquest.com","https://search.proquest.com/openview/e722566dcd5b3be1a6ab2c848c4ae08a/1?pq-origsite=gscholar&cbl=18750&diss=y","",181,"2022-02-09 13:55:36","BOOK","","","",,,,,0,0.00,0,1,51,"… have rational expectations, they will be correct at least on the average in guesses of future growth rates. Rational expectations were first … Thus, we may conclude that rational expectations (and to a certain extent, weighted expectations) are inconsistent with the Harrod like …","","https://scholar.google.com/scholar?q=related:aMGaKQ8JZ-4J:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
0,"LG Telser","The Monopoly and Cournot-Nash Equilibria under Dynamic Conditions",1971,"Competition, Collusion, and Game Theory","Springer","https://link.springer.com/chapter/10.1007/978-1-349-01538-2_6","",189,"2022-02-09 13:55:36","","10.1007/978-1-349-01538-2_6","","",,,,,0,0.00,0,1,51,"We now resume the study of optimal policies and expectations for n competing firms begun in chapter IV. Our concern is with the dynamic properties of the competitive and monopoly equilibria. Despite the greater difficulties of the analysis, many conclusions applicable to the …","",""
5,"FB Davis, CW Ross","Control for power pools",1971,"US Patent 3,629,562","Google Patents","https://patents.google.com/patent/US3629562A/en","https://scholar.google.com/scholar?cites=18309166525652260986&as_sdt=2005&sciodt=2007&hl=en",202,"2022-02-09 13:55:36","","","","",,,,,5,0.10,3,2,51,"… Kalman filtering estimation of unobserved rational expectations with an application to the German hyperinflation …","https://patentimages.storage.googleapis.com/c2/3f/3b/9f64855b3e23ca/US3629562.pdf","https://scholar.google.com/scholar?q=related:etj57vI5F_4J:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
2,"WF Mullen","Black Political Participation: Recent Trends",1971,"","search.proquest.com","https://search.proquest.com/openview/4624e21cd02900df54eee7e51626c062/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=8394109031529174822&as_sdt=2005&sciodt=2007&hl=en",205,"2022-02-09 13:55:36","BOOK","","","",,,,,2,0.04,2,1,51,"… -Angeles, there is one unmistakable lesson in American history: A community that allows a large number of young men to grow up in broken families, dominated by women, never acquiring any stable relationship to male authority, never acquiring any set of rational expectations …","","https://scholar.google.com/scholar?q=related:JtcxtrDdfXQJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
3,"JP Schofer","On Some Geographic Aspects of Higher Education in the United States: A Systems Approach",1971,"","search.proquest.com","https://search.proquest.com/openview/0b420d6df22f5ed319e8bb4d7203b22d/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=139443384073320572&as_sdt=2005&sciodt=2007&hl=en",212,"2022-02-09 13:55:36","BOOK","","","",,,,,3,0.06,3,1,51,"… would be (1) if some campuses grow and some do not, even while the total system is expanding, (2) if limits are set on campus growth either by C2 units or by the campus administration, or (3) if campus locations were supported which did not reflect the rational expectations of …","","https://scholar.google.com/scholar?q=related:fPj33QRn7wEJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
4,"DU Levine, RC Doll","Systems Renewal in the Louisville Public Schools: Lessons on the Frontier of Urban Educational Reform in a Big City School District.",1971,"","ERIC","https://eric.ed.gov/?id=ED069814","https://scholar.google.com/scholar?cites=5737697532804660447&as_sdt=2005&sciodt=2007&hl=en",213,"2022-02-09 13:55:36","","","","",,,,,4,0.08,2,2,51,"Still there has been little appreciable improvement in the quality and/or the results of urban education. Achievement scores continue to lag while children and teachers flee the central city schools. School districts continue to search for"" the right"" program, curriculum, …","https://files.eric.ed.gov/fulltext/ED069814.pdf","https://scholar.google.com/scholar?q=related:3_x0p4FloE8J:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
4,"WK SWANN III","THE TECHNIQUES OF SOFTENING ETA HOFFMANN'S PRESENTATION OF THE FANTASTIC.",1971,"","search.proquest.com","https://search.proquest.com/openview/9eb69e1c4bdfc2f27fa8585b8290c0d2/1.pdf?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=3772932001066405605&as_sdt=2005&sciodt=2007&hl=en",214,"2022-02-09 13:55:36","BOOK","","","",,,,,4,0.08,4,1,51,"the original submitted. Page 1 SLGGLGGGGGGGGG GGG LLLLLL This dissertation was produced from a microfilm copy of the original document. While the most advanced technological means to photograph and reproduce this document have been used, the quality is heavily …","","https://scholar.google.com/scholar?q=related:5U5ERaolXDQJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
44,"BP Pashigian","Rational expectations and the cobweb theory",1970,"Journal of Political Economy","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/pdf/10.1086/259632","https://scholar.google.com/scholar?cites=352571804044039963&as_sdt=2005&sciodt=2007&hl=en",2,"2022-02-09 13:55:36","","10.1086/259632","","",,,,,44,0.85,44,1,52,"… In this section of the paper, we derive the implied price expectation under the rational expectations hypothesis, that is, ko = 0 and k = 1. The supply relationship is assumed to be stochastic. As a first approximation, it is convenient to treat the demand relationship as deterministic, …","","https://scholar.google.com/scholar?q=related:GxfdETCW5AQJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
40,"R Turvey","Public utility pricing and output under risk: Comment",1970,"American Economic Review","ideas.repec.org","https://ideas.repec.org/a/aea/aecrev/v60y1970i3p485-86.html","https://scholar.google.com/scholar?cites=17496932249185344096&as_sdt=2005&sciodt=2007&hl=en",44,"2022-02-09 13:55:36","CITATION","","","",,,,,40,0.77,40,1,52,"… Public Utility Pricing and Capacity Choice under Risk: A Rational Expectations Approach,"" Journal of Regulatory Economics, Springer, vol. … Public Utility Pricing and Capacity Choice Under Risk: A Rational Expectations Approach,"" Discussion Papers 780, Northwestern …","","https://scholar.google.com/scholar?q=related:YNrEiy2X0fIJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
13,"DS Salkever","Public utility pricing and output under risk: Comment",1970,"American Economic Review","ideas.repec.org","https://ideas.repec.org/a/aea/aecrev/v60y1970i3p487-88.html","https://scholar.google.com/scholar?cites=5466282473512915263&as_sdt=2005&sciodt=2007&hl=en",46,"2022-02-09 13:55:36","CITATION","","","",,,,,13,0.25,13,1,52,"… Public Utility Pricing and Capacity Choice under Risk: A Rational Expectations Approach,"" Journal of Regulatory Economics, Springer, vol. … Public Utility Pricing and Capacity Choice Under Risk: A Rational Expectations Approach,"" Discussion Papers 780, Northwestern …","","https://scholar.google.com/scholar?q=related:P1Gus_Ii3EsJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
2,"CM Cannon","The Board of Trade Capital-Investment-Forecasts: The Prediction of Gross-Fixed-Capital-Formation in UK Manufacturing Industry and Business Expectations",1970,"The Journal of Industrial Economics","JSTOR","https://www.jstor.org/stable/2097615","https://scholar.google.com/scholar?cites=4321718239954942139&as_sdt=2005&sciodt=2007&hl=en",60,"2022-02-09 13:55:36","","","","",,,,,2,0.04,2,1,52,"… This bias does indicate a response by businessmen to risk and uncertainty which is inconsistent with the hypothesis of rational expectations. This bias is inconsistent too with the corresponding hypothesis that risk and uncertainty has no effect upon the level of any discount-rate …","","https://scholar.google.com/scholar?q=related:uzjXf9fT-TsJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
0,"ES Phelps","PRESENT AND PAST POSITIONS: McVickar Professor of Political Economy, Columbia University, 1982–Director, Center on Capitalism and Society, Earth …",1970,"University of California, Berkeley","columbia.edu","http://www.columbia.edu/~esp2/CV2003.doc","",62,"2022-02-09 13:55:36","DOC","","","",,,,,0,0.00,0,1,52,"… ""The Trouble with Rational Expectations and the Problem of Inflation Stabilization,"" in R. Frydman and ES Phelps, eds., Individual Forecasting and Aggregate Outcomes:'… “Recent Studies of Speculative Markets in the Controversy over Rational Expectations,” …","http://www.columbia.edu/~esp2/CV2003.doc",""
1,"EH Kim, A Morse, L Zingales","What Has Mattered to Economics Since",1970,"","Citeseer","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.561.1131&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=8221573956124136945&as_sdt=2005&sciodt=2007&hl=en",77,"2022-02-09 13:55:36","PDF","","","",,,,,1,0.02,0,3,52,"… Among the articles excluded due to our choice of economics journals, one of the most likely papers to hit the 500-cites threshold is the Robert Lucas (1977) paper on business cycles that presented the rational expectations “Lucas critique” and appeared in Carnegie-Rochester …","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.561.1131&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:8dVhDfTlGHIJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
0,"JC Ullman","The Public Employment Service in Transition, 1933-1968.",1970,"","JSTOR","","",78,"2022-02-09 13:55:36","CITATION","","","",,,,,0,0.00,0,1,52,"","",""
0,"JA Carlson","Sales Anticipations and Inventory Behavior.",1970,"","JSTOR","","",80,"2022-02-09 13:55:36","CITATION","","","",,,,,0,0.00,0,1,52,"","",""
0,"C Weber","Themenübersicht Seminar im Sommersemester 2009",1970,"Journal of Finance","ewl.wiwi.uni-due.de","https://www.ewl.wiwi.uni-due.de/fileadmin/fileupload/BWL-ENERGIE/Lehre/Sonstiges/Uebersicht_Themen_Seminar_SS09.pdf","",81,"2022-02-09 13:55:36","PDF","","","",,,,,0,0.00,0,1,52,"… Thus, when (Bt−1 − 0t−1) goes to zero we have convergence to rational expectations in the sense of Fama (1970), that arbitrage becomes … early“ to rational expectations, although even in these cases we get ˆβ > 0, and small price fluctuations of a few cents that invite „scalping.“ …","https://www.ewl.wiwi.uni-due.de/fileadmin/fileupload/BWL-ENERGIE/Lehre/Sonstiges/Uebersicht_Themen_Seminar_SS09.pdf","https://scholar.google.com/scholar?q=related:zchASFPDnOEJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
